28,
Time1,Main Stage (Outdoors Marquee)
6/13/15 21:00,Enjoy our glamorous champagne reception with the smooth jazz from the Edward Wren Trio
6/13/15 22:15,"Made up of the eight choral scholars of the world-class New College Choir, the New Men bring fun, charisma and outstanding sound.  From upbeat humour to yearning close harmonies, this a cappella group has it all!"
6/13/15 23:15,"Hailing from Broadstairs in Kent, indie rock trio Fish Tank will take the energy levels on our main stage up a notch with noisy riffs and infectious energy."
6/14/15 0:30,"Founded in 2011 by students at Wadham College, Garfunkel is a 13-piece feel-good funk and soul band.  With their set list ranging from soul classics to modern day tunes, get ready to dance the night away."
6/14/15 2:00,Our DJ from Decadent Times serves up some contemporary club classics to keep the party going well into the morning.
6/13/15 22:00,"Experience some of the thrills of Rick?s Caf e with our Casino room, complete with our own special recipe of French 75 Cocktails."
6/13/15 21:00,Enjoy a touch a touch of class with the Wykeham Quartet as you enter the magical world of Linacre College Ball 2015.
6/13/15 22:00,"Formed in 2013, the Wykeham Wanders consist of violinist Satya Tan, cellist Rosie Powell Davies and Linacre?s own guitarist Giles Masters.  They will be bringing their own fusion of folk, jazz and classical styles to the Dining Hall stage."
6/13/2015 23:00,"Combining soaring vocals and lush instrumental backdrops, Jake Downs is definitely a talent to watch."
6/14/2015 0:00,"Combining backgrounds in classical, American and Irish folk, rock, blues, and jazz, the Infamous Flapjack Affair plays its own unique, genre-defying brand of music.  Come and hear a talented group who are well known for their stunning live performances (featuring Linacre?s own James Mitchell)."
6/14/2015 1:30,"Get your dancing shoes on for a mix of swing, funk, and soul classics with our DJ from Decadent Times."
6/13/2015 22:05,Rick's Gin Cocktail is now being served in the Blue Parrot Bar
6/13/2015 23:05,Moroccan Mint Mojito is now being served in Rick's Caf e
6/14/2015 0:00,French 75 is now being served in the Casino
6/14/2015 1:00,"""Here's to looking at You, Kid"" Whiskey Cocktail is now being served in the Blue Parrot Bar"
6/14/2015 1:15,Casablanca Sunrise is now being served in Rick's Caf e
6/14/2015 4:00,Mimosas are now being served at the Fountain
6/14/2015 4:00,sdf
